City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,thames,-37.1333,175.5333,288.09,95,100,6.87,NZ,1723924217
83,colonia,50.9333,6.95,295.35,83,0,1.54,DE,1723924217
84,alaghsas,17.0187,8.0168,303.71,48,91,4.22,NE,1723924217
85,kourou,5.1552,-52.6478,302.06,64,0,4.05,GF,1723924217
86,salinas,36.6777,-121.6555,297.63,70,40,4.63,US,1723924217
87,ciudad acuna,29.3232,-100.9522,312.21,31,0,6.17,MX,1723924217
88,kota kinabalu,5.9749,116.0724,298.14,94,20,2.06,MY,1723924217
89,mount isa,-20.7333,139.5,285.02,40,100,1.03,AU,1723924217
90,la passe,45.5549,-0.8967,291.69,85,10,4.98,FR,1723924217
91,nar'yan-mar,67.6713,53.087,280.77,93,9,2.99,RU,1723924217
92,qaqortoq,60.7167,-46.0333,279.81,66,0,4.11,GL,1723924217
93,anadyr,64.75,177.4833,279.43,75,0,5.0,RU,1723924217
94,newport,51.5877,-2.9984,289.56,85,100,3.56,GB,1723924217
95,arkhangel'sk,64.5401,40.5433,288.21,100,100,4.0,RU,1723924217
96,namibe,-15.1961,12.1522,290.09,82,99,0.99,AO,1723924217
97,hithadhoo,-0.6,73.0833,301.81,76,100,7.93,MV,1723924217
98,san antonio de pale,-1.4014,5.6325,296.75,83,8,4.01,GQ,1723924217
99,torghay,49.6339,63.4981,290.73,54,75,3.37,KZ,1723924217
100,fale old settlement,-9.3852,-171.2468,301.15,78,25,10.84,TK,1723924217
101,uturoa,-16.7333,-151.4333,298.37,81,11,8.14,PF,1723924217
102,gunnedah,-30.9833,150.25,280.53,84,6,1.68,AU,1723924217
103,hamilton,39.1834,-84.5333,306.6,49,40,9.26,US,1723924217
104,constantia,44.1833,28.65,294.65,65,0,2.99,RO,1723924217
105,nova vicosa,-17.8919,-39.3719,296.72,66,0,4.01,BR,1723924217
106,timbuktu,16.7735,-3.0074,304.67,51,64,4.7,ML,1723924218
107,bilibino,68.0546,166.4372,277.62,90,100,0.8,RU,1723924218
108,enewetak,11.3474,162.3373,301.48,81,100,6.93,MH,1723924218
109,carnarvon,-24.8667,113.6333,291.34,54,95,7.69,AU,1723924218
110,taoudenni,22.6783,-3.9836,306.01,44,100,12.71,ML,1723924218
111,pangoa,-12.1167,-73.0,305.86,32,0,2.0,PE,1723924218
112,qarazhal,48.0078,70.7903,288.93,64,8,3.74,KZ,1723924218
113,hotan,37.0997,79.9269,301.91,17,0,2.98,CN,1723924218
114,keflavik,64.0049,-22.5624,281.39,76,75,8.75,IS,1723924218
115,al wafrah,28.6392,47.9306,310.91,17,0,3.38,KW,1723924218
116,almus,40.3758,36.9044,287.28,77,0,1.16,TR,1723924218
117,vorgashor,67.5833,63.95,284.08,89,100,3.45,RU,1723924218
118,bredasdorp,-34.5322,20.0403,284.14,90,1,3.3,ZA,1723924218
119,dampit,-8.2116,112.7493,291.18,97,16,1.52,ID,1723924218
120,manggar,-2.8833,108.2667,299.86,83,25,4.51,ID,1723924218
121,aldan,58.6031,125.3894,281.88,87,78,0.59,RU,1723924218
122,port mathurin,-19.6833,63.4167,295.93,73,42,11.17,MU,1723924218
123,roccella ionica,38.322,16.4009,301.54,66,100,3.88,IT,1723924218
124,komatsu,36.4026,136.4509,300.14,94,75,0.0,JP,1723924218
125,vadso,70.0744,29.7487,283.24,93,0,2.06,NO,1723924218
126,nantucket,41.2835,-70.0995,292.21,88,100,5.14,US,1723924218
127,tofol,5.3248,163.0078,299.65,88,100,8.2,FM,1723924218
128,shingu,33.7333,135.9833,298.94,82,8,1.61,JP,1723924218
129,karaton,-6.3424,106.1045,294.65,95,3,0.25,ID,1723924218
130,darchula,29.8412,80.5287,289.75,98,100,0.46,NP,1723924218
131,luorong,24.4058,109.6086,297.98,91,29,1.31,CN,1723924218
132,ilulissat,69.2167,-51.1,278.16,87,75,4.12,GL,1723924218
133,nova sintra,14.8667,-24.7167,301.22,77,100,1.51,CV,1723924218
134,zhezqazghan,47.7833,67.7667,291.92,51,63,5.26,KZ,1723924218
135,gilgit,35.9221,74.3087,299.57,53,36,1.57,PK,1723924218
136,troitsko-pechorsk,62.7084,56.1964,284.69,85,81,1.64,RU,1723924218
137,matamey,13.4231,8.4749,300.72,66,58,3.73,NE,1723924218
138,stanley,54.868,-1.6985,288.16,73,40,1.54,GB,1723924218
139,avarua,-21.2078,-159.775,296.18,68,40,4.63,CK,1723924218
140,murree,33.9073,73.393,290.99,67,100,1.25,PK,1723924219
141,solwezi,-12.1688,26.3894,290.68,34,0,1.91,ZM,1723924219
142,sakaiminato,35.55,133.2333,296.14,100,20,2.06,JP,1723924219
143,kutahya,39.4242,29.9833,289.56,45,0,1.73,TR,1723924219
144,egilsstadir,65.2653,-14.3948,282.1,81,75,6.17,IS,1723924219
145,kupang,-10.1667,123.5833,297.47,69,100,2.57,ID,1723924219
146,tiznit,29.5833,-9.5,304.76,36,34,0.83,MA,1723924219
147,lata,40.1629,-8.3327,292.58,89,7,2.33,PT,1723924219
148,invercargill,-46.4,168.35,278.16,79,82,1.79,NZ,1723924219
149,dobroslav,46.8194,30.9432,297.39,45,0,4.34,UA,1723924219
150,yuzhno-kurilsk,44.0306,145.8556,287.67,91,88,2.99,RU,1723924219
151,howrah,22.5892,88.3103,301.15,83,40,3.6,IN,1723924219
152,mercedes,-34.6515,-59.4307,289.23,56,90,4.66,AR,1723924213
153,ciorescu,47.1294,28.8856,300.55,30,72,4.87,MD,1723924219
154,hami,42.8,93.45,304.57,13,4,3.97,CN,1723924219
155,tadpatri,14.9167,78.0167,302.26,73,100,1.05,IN,1723924219
156,fortuna,40.5982,-124.1573,292.66,81,75,6.69,US,1723924219
157,prabumulih,-3.45,104.25,295.84,90,0,1.93,ID,1723924219
158,westport,41.1415,-73.3579,298.9,77,40,8.23,US,1723924219
159,sona,45.4388,10.8255,297.66,65,0,2.06,IT,1723924219
160,udachny,66.4167,112.4,285.4,69,73,3.39,RU,1723924219
161,gazli,40.1333,63.45,298.92,35,0,5.18,UZ,1723924219
162,tommot,58.9564,126.2925,285.19,81,97,0.64,RU,1723924219
163,thompson,55.7435,-97.8558,293.24,45,40,4.63,CA,1723924219
164,nuuk,64.1835,-51.7216,281.49,66,40,8.75,GL,1723924219
165,tromso,69.6496,18.957,288.16,67,0,4.63,NO,1723924175
166,acacias,3.987,-73.758,301.8,60,49,1.94,CO,1723924219
167,'ain el melh,34.8415,4.1638,298.59,44,0,4.74,DZ,1723924219
168,afaahiti,-17.75,-149.2833,296.49,87,81,9.84,PF,1723924219
169,trekhgornyy,54.815,58.4592,283.8,99,99,1.59,RU,1723924219
170,kazanskoye,55.6448,69.235,284.85,92,23,2.34,RU,1723924219
171,blackmans bay,-43.0167,147.3167,279.67,86,100,0.45,AU,1723924219
172,brive-la-gaillarde,45.25,1.5,290.13,99,65,0.35,FR,1723924219
173,burley,42.5357,-113.7928,302.13,26,0,4.63,US,1723924220
174,acapulco de juarez,16.8634,-99.8901,304.05,70,40,5.66,MX,1723923997
175,visakhapatnam,17.69,83.2093,302.09,100,75,2.06,IN,1723924220
176,suwayr,30.1171,40.3893,305.99,18,0,3.73,SA,1723924220
177,juan griego,11.0817,-63.9655,306.22,58,2,2.57,VE,1723924220
178,kavieng,-2.5744,150.7967,300.36,81,58,4.15,PG,1723924220
179,hadibu,12.65,54.0333,298.93,81,38,7.98,YE,1723924220
180,atafu village,-8.5421,-172.5159,302.11,73,67,9.17,TK,1723924220
181,fomboni,-12.28,43.7425,298.73,63,0,5.49,KM,1723924220
182,pemba,-12.974,40.5178,298.54,83,20,6.71,MZ,1723924220
183,mahanoro,-19.9,48.8,292.84,87,91,4.05,MG,1723924220
184,puerto natales,-51.7236,-72.4875,278.4,70,75,7.72,CL,1723924220
185,bel ombre,-4.6167,55.4167,299.06,73,20,4.12,SC,1723924220
186,popondetta,-8.7537,148.2534,296.16,84,77,1.16,PG,1723924220
187,chibougamau,49.9168,-74.3659,295.94,68,75,4.12,CA,1723924220
188,bari sadri,24.4167,74.4667,297.47,85,100,2.42,IN,1723924220
189,lazaro cardenas,17.9583,-102.2,303.74,65,31,4.31,MX,1723924220
190,caohe,30.2297,115.4335,299.6,84,92,0.62,CN,1723924220
191,cambria,35.5641,-121.0808,304.39,70,36,3.43,US,1723924220
192,firminopolis,-16.5819,-50.305,307.07,13,0,3.29,BR,1723924220
193,usinsk,65.9939,57.5281,282.86,92,31,1.07,RU,1723924220
194,puerto baquerizo moreno,-0.9,-89.6,295.7,78,100,7.2,EC,1723924032
195,puerto ayora,-0.7393,-90.3518,294.01,92,99,4.47,EC,1723924220
196,severo-yeniseyskiy,60.3725,93.0408,284.26,98,100,1.78,RU,1723924220
197,burang,30.25,81.1667,284.16,78,100,2.5,CN,1723924220
198,tsumeb,-19.2333,17.7167,295.07,11,0,3.63,NA,1723924220
199,weno,7.4515,151.8468,301.99,76,91,5.69,FM,1723924220
200,chonchi,-42.6128,-73.8092,280.23,83,88,1.72,CL,1723924221
201,scottburgh,-30.2867,30.7532,293.06,71,0,8.03,ZA,1723924221
202,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,93,75,3.0,RU,1723924221
203,tidjikja,18.5564,-11.4271,305.82,25,99,5.05,MR,1723924221
204,rongelap,11.1635,166.8941,301.66,79,86,8.78,MH,1723924221
205,walvis bay,-22.9575,14.5053,284.68,87,18,1.03,NA,1723924221
206,chelak,39.9203,66.8611,297.57,37,30,4.19,UZ,1723924221
207,el nido,11.1858,119.3956,299.34,93,100,1.83,PH,1723924221
208,formosa do rio preto,-11.0483,-45.1931,305.81,21,10,3.77,BR,1723924221
209,sakon nakhon,17.3333,103.8333,297.71,96,100,1.81,TH,1723924221
210,muhldorf,48.25,12.5333,295.05,94,100,1.2,DE,1723924221
211,mokrous,51.2333,47.5167,291.78,52,100,1.91,RU,1723924221
212,palmer,42.1584,-72.3287,299.94,60,75,2.06,US,1723924221
213,nagqu,31.5,92.0,272.24,80,0,1.14,CN,1723924221
214,saskatoon,52.1168,-106.6345,301.02,35,100,6.17,CA,1723924094
215,garachico,28.7781,-17.7646,294.21,88,0,6.69,ES,1723924221
216,east london,-33.0153,27.9116,292.32,69,97,3.05,ZA,1723924221
217,terrace,54.5163,-128.6035,296.1,43,20,2.57,CA,1723924221
218,chui,-33.6971,-53.4616,287.18,78,100,5.52,UY,1723924221
219,san julian,21.0167,-102.1667,294.48,65,91,2.15,MX,1723924221
220,fereydun kenar,36.6864,52.5225,296.27,88,100,0.0,IR,1723924221
221,usogorsk,63.4106,48.6872,285.88,84,100,2.35,RU,1723924221
222,lorengau,-2.0226,147.2712,300.45,80,70,3.91,PG,1723924221
223,udaipur,24.5712,73.6918,297.12,84,100,1.7,IN,1723923981
224,tezu,27.9167,96.1667,299.4,71,100,1.49,IN,1723924221
225,selfoss,63.9331,-20.9971,282.06,71,96,4.63,IS,1723924221
226,bodo,67.28,14.405,287.17,75,40,6.17,NO,1723924221
227,williams lake,52.1415,-122.1445,299.29,40,20,2.06,CA,1723924221
228,chernyshevskiy,63.0128,112.4714,282.62,79,53,1.67,RU,1723924221
229,tsiombe,-25.3,45.4833,292.64,61,0,7.27,MG,1723924221
230,midvagur,62.0511,-7.1939,283.61,87,100,7.72,FO,1723924221
231,pamandzi,-12.7967,45.2794,297.03,78,0,3.6,YT,1723924221
232,wuwei,37.9281,102.6414,292.68,33,0,2.67,CN,1723924221
233,boca do acre,-8.7522,-67.3978,304.47,40,100,1.41,BR,1723924221
234,tazovsky,67.4667,78.7,284.07,98,81,3.08,RU,1723924222
235,taseyevo,57.2169,94.8978,287.7,95,39,0.67,RU,1723924222
236,laojunmiao,39.8333,97.7333,292.93,27,1,3.98,CN,1723924222
237,lebu,-37.6167,-73.65,282.55,66,4,7.24,CL,1723924222
238,shitanjing,39.2342,106.3439,294.54,41,32,0.72,CN,1723924222
239,sur,22.5667,59.5289,300.4,80,100,6.75,OM,1723924222
240,kingston,17.997,-76.7936,305.68,70,20,7.2,JM,1723924159
241,talnakh,69.4865,88.3972,287.41,93,84,4.24,RU,1723924222
242,novodvinsk,64.4165,40.8122,288.01,99,100,1.58,RU,1723924222
243,ancud,-41.8697,-73.8203,280.73,72,41,3.28,CL,1723924222
244,lev tolstoy,53.2134,39.446,291.73,56,9,3.61,RU,1723924222
245,kashmar,35.2383,58.4656,297.84,38,0,4.94,IR,1723924222
246,itamaraca,-7.7478,-34.8256,298.0,67,93,4.78,BR,1723924222
247,sadjoavato,-12.6334,49.349,293.99,77,6,4.96,MG,1723924222
248,sisimiut,66.9395,-53.6735,279.3,81,65,5.61,GL,1723924222
249,vila franca do campo,37.7167,-25.4333,299.38,80,60,1.83,PT,1723924222
250,lycksele,64.5954,18.6735,284.08,100,20,1.54,SE,1723924222
251,port alfred,-33.5906,26.891,289.0,81,4,3.41,ZA,1723924222
252,hacienda huancane,-15.8222,-70.8856,286.42,18,100,2.62,PE,1723924222
253,filadelfia,39.9523,-75.1638,298.18,77,100,4.12,US,1723924074
254,kolno,53.4115,21.9291,296.62,70,99,3.73,PL,1723924222
255,madanapalle,13.55,78.5,296.69,88,100,2.29,IN,1723924222
256,yaren,-0.5472,166.916,301.77,76,78,6.44,NR,1723924222
257,naliya,23.2667,68.8333,300.89,80,100,4.38,IN,1723924222
258,kisanga,-7.4362,37.7034,296.4,69,22,2.88,TZ,1723924222
259,kununurra,-15.7667,128.7333,287.14,82,69,2.06,AU,1723924222
260,sibut,5.718,19.0739,295.09,97,99,1.73,CF,1723924222
261,whitehorse,60.7161,-135.0538,290.58,54,75,1.54,CA,1723924222
262,cutral-co,-38.9469,-69.2089,284.21,10,0,4.02,AR,1723924222
263,ixtapa,20.7,-105.2,303.28,80,100,1.67,MX,1723924222
264,trincomalee,8.5711,81.2335,300.7,79,91,8.68,LK,1723924222
265,akureyri,65.6835,-18.0878,281.11,81,100,3.6,IS,1723924222
266,vilyuysk,63.7553,121.6247,282.45,68,0,0.44,RU,1723924222
267,santa marta de ortigueira,43.6833,-7.85,294.96,100,100,4.26,ES,1723924222
268,cidreira,-30.1811,-50.2056,290.18,90,100,5.97,BR,1723924222
269,thunder bay,48.4001,-89.3168,298.14,69,75,4.63,CA,1723924197
270,tangshan,39.6333,118.1833,296.18,86,100,1.54,CN,1723924223
271,santa cruz,-17.8,-63.1667,308.85,38,20,9.77,BO,1723924223
272,akjoujt,19.6969,-14.4164,306.17,40,100,9.18,MR,1723924223
273,villa gesell,-37.2639,-56.973,284.11,80,100,5.56,AR,1723924223
274,vangaindrano,-23.35,47.6,293.16,66,100,1.88,MG,1723924223
275,panino,51.6467,40.1346,291.42,49,5,2.53,RU,1723924223
276,okha,53.5739,142.9478,284.12,84,79,2.42,RU,1723924223
277,jutai,-5.1833,-68.9,307.32,41,99,0.69,BR,1723924223
278,lompoc,34.6391,-120.4579,300.14,69,6,2.24,US,1723924223
279,urzhar,47.093,81.6294,298.26,41,100,3.92,KZ,1723924223
280,yima,34.7381,111.8839,295.78,90,89,0.84,CN,1723924223
281,lake los angeles,34.6125,-117.8281,306.06,17,0,0.0,US,1723924223
282,betio village,1.358,172.9211,301.17,66,1,8.47,KI,1723924223
283,mach,29.8637,67.3298,298.58,86,100,1.57,PK,1723924223
284,roleystone,-32.1167,116.0667,282.9,93,100,1.03,AU,1723924223
285,oranjemund,-28.55,16.4333,284.84,80,0,1.47,NA,1723924223
286,san giorgio di nogaro,45.8336,13.2158,300.44,68,43,2.57,IT,1723924223
287,oblivskaya,48.5362,42.5014,292.59,29,36,2.9,RU,1723924223
288,san patricio,28.017,-97.5169,310.12,39,11,6.86,US,1723924223
289,port saint john's,-31.6229,29.5448,292.4,82,35,4.27,ZA,1723924223
290,cova figueira,14.8905,-24.2934,295.02,84,100,1.22,CV,1723924223
291,richards bay,-28.783,32.0377,295.26,56,0,5.83,ZA,1723924223
292,kirakira,-10.4544,161.9205,299.01,89,7,4.73,SB,1723924223
293,aripuana,-9.1667,-60.6333,310.61,24,81,1.0,BR,1723924223
294,fuente obejuna,38.2667,-5.4167,301.55,18,56,2.41,ES,1723924223
295,howard springs,-12.497,131.047,295.1,83,0,1.77,AU,1723924223
296,dokkum,53.3222,5.997,290.14,79,75,2.06,NL,1723924223
297,buka,40.8108,69.1986,296.95,31,99,3.8,UZ,1723924223
298,dudinka,69.4058,86.1778,287.12,94,65,6.6,RU,1723923983
299,grand falls-windsor,48.9332,-55.6649,298.99,52,57,4.94,CA,1723924223
300,pisco,-13.7,-76.2167,292.18,68,0,5.14,PE,1723924223
301,st. john's,47.5649,-52.7093,296.81,60,40,6.69,CA,1723924223
302,turabah,21.2141,41.6331,303.32,51,82,8.19,SA,1723924224
303,euclides da cunha,-10.5075,-39.0158,296.28,66,100,3.95,BR,1723924224
304,fort st. john,56.2499,-120.8529,290.09,63,40,3.09,CA,1723924224
305,gbarnga,6.9956,-9.4722,295.01,99,100,1.87,LR,1723924224
306,gallup,35.5281,-108.7426,302.06,26,0,0.0,US,1723924224
307,galliano,29.4422,-90.2992,307.15,52,0,2.06,US,1723924224
308,saldanha,-33.0117,17.9442,286.18,94,75,4.64,ZA,1723924224
309,sotkamo,64.1333,28.4167,286.48,61,100,0.2,FI,1723924224
310,shihezi,44.3,86.0333,302.67,36,99,2.32,CN,1723924224
311,visby,57.6409,18.296,290.83,77,0,2.57,SE,1723924224
312,mar del plata,-38.0023,-57.5575,284.16,89,0,4.12,AR,1723924224
313,vilyuchinsk,52.9306,158.4028,282.3,75,91,1.88,RU,1723924224
314,mengcheng chengguanzhen,33.2661,116.566,298.12,89,68,2.47,CN,1723924224
315,rikaze,29.25,88.8833,285.13,54,0,1.67,CN,1723924224
316,lerwick,60.1545,-1.1494,285.48,81,100,9.44,GB,1723924224
317,sitka,57.0531,-135.33,290.09,67,100,1.54,US,1723924224
318,zouerate,22.7187,-12.4521,309.77,15,65,5.63,MR,1723924224
319,pitkyaranta,61.5734,31.4792,289.16,78,100,1.27,RU,1723924224
320,muisne,0.6,-80.0333,299.16,79,64,5.43,EC,1723924224
321,prince rupert,54.3161,-130.3201,288.2,89,75,3.09,CA,1723924224
322,jumla,29.2747,82.1838,288.66,97,100,0.74,NP,1723924224
323,alice springs,-23.7,133.8833,279.9,65,3,0.0,AU,1723924049
324,chanute,37.6792,-95.4572,305.21,58,0,5.14,US,1723924224
325,paros,37.0833,25.15,301.1,69,0,4.12,GR,1723924209
326,berberati,4.2612,15.7922,292.88,93,57,1.16,CF,1723924224
327,changji,44.0167,87.3167,302.59,37,20,1.0,CN,1723924224
328,uige,-7.6087,15.0613,295.06,56,1,1.07,AO,1723924224
329,jackson,42.4165,-122.8345,300.41,43,0,3.13,US,1723924224
330,guerrero negro,27.9769,-114.0611,299.41,51,0,6.88,MX,1723924224
331,gaspe,48.8334,-64.4819,300.27,57,100,3.6,CA,1723923959
332,codrington,-38.2667,141.9667,285.34,92,100,6.05,AU,1723924224
333,sharm el-sheikh,27.8518,34.305,309.23,21,0,1.54,EG,1723924224
334,titao,13.7667,-2.0667,298.05,84,100,7.01,BF,1723924224
335,kokopo,-4.352,152.2633,297.76,85,90,2.45,PG,1723924224
336,karsun,54.1994,46.9827,289.03,71,100,2.2,RU,1723924224
337,grantsville,40.5999,-112.4644,294.14,73,75,3.09,US,1723924052
338,new norfolk,-42.7826,147.0587,280.33,94,98,1.02,AU,1723924225
339,crane,31.3974,-102.3501,309.76,25,0,6.05,US,1723924225
340,marquette,46.5333,-87.6335,291.84,99,99,3.13,US,1723923930
341,zuenoula,7.4292,-6.0431,295.83,96,98,2.03,CI,1723924225
342,archangelos,36.2149,28.1149,302.21,57,0,3.07,GR,1723924225
343,lagos,6.5833,3.75,297.71,87,46,2.46,NG,1723924136
344,motueka,-41.1333,173.0167,285.43,99,100,1.13,NZ,1723924225
345,sabang,5.8933,95.3214,300.97,78,100,2.65,ID,1723924225
346,felege neway,6.3,36.8833,290.87,89,100,0.97,ET,1723924225
347,codajas,-3.8367,-62.0569,310.25,27,78,0.71,BR,1723924225
348,adam,22.3756,57.5233,303.37,59,76,6.1,OM,1723924225
349,ussel,45.55,2.3167,287.22,99,99,0.96,FR,1723924225
350,hyesan,41.4017,128.1778,291.98,97,99,0.37,KP,1723924225
351,nabire,-3.3667,135.4833,296.63,93,100,1.33,ID,1723924225
352,rumoi,43.9344,141.6428,292.99,94,100,2.23,JP,1723924225
353,bad segeberg,53.9333,10.3167,290.22,77,41,2.37,DE,1723924225
354,camayenne,9.535,-13.6878,299.2,89,100,5.14,GN,1723924225
355,beledweyne,4.7358,45.2036,298.27,63,15,11.16,SO,1723924225
356,tolanaro,-25.0319,46.9987,294.19,73,40,6.17,MG,1723924225
357,ad dabbah,18.05,30.95,311.28,25,20,2.08,SD,1723924225
358,okhotsk,59.3833,143.3,281.85,92,100,3.05,RU,1723924225
359,reggane,26.7158,0.1714,313.58,18,0,3.08,DZ,1723924225
360,zyrya,40.3661,50.2917,297.2,61,96,4.15,AZ,1723924225
361,sovetskaya gavan',48.9723,140.2878,287.97,95,100,2.19,RU,1723924225
362,san clemente del tuyu,-36.3569,-56.7235,284.45,80,87,6.43,AR,1723924225
363,san luis de la loma,17.2706,-100.8939,303.73,64,58,3.61,MX,1723924225
364,tura,25.5198,90.2201,296.18,96,75,1.88,IN,1723924225
365,vernon,50.2581,-119.2691,298.57,60,2,1.03,CA,1723924225
